[2021-07-06 18:24:43,410] -  INFO: execute setUpClass
[2021-07-06 18:24:48,959] -  INFO: ---退出游戏---
[2021-07-06 18:24:48,959] -  INFO: -------------------------------
[2021-07-06 18:24:54,838] -  INFO: ---退出游戏---
[2021-07-06 18:24:54,839] -  INFO: -------------------------------
[2021-07-06 18:25:00,746] -  INFO: ---退出游戏---
[2021-07-06 18:25:00,746] -  INFO: -------------------------------
[2021-07-06 18:25:06,619] -  INFO: ---退出游戏---
[2021-07-06 18:25:06,619] -  INFO: -------------------------------
[2021-07-06 18:25:12,409] -  INFO: ---退出游戏---
[2021-07-06 18:25:12,409] -  INFO: -------------------------------
[2021-07-06 18:25:18,300] -  INFO: ---退出游戏---
[2021-07-06 18:25:18,300] -  INFO: -------------------------------
[2021-07-06 18:25:18,742] -  INFO: execute tearDownClass
